#separator:tab
#html:true
"Я тебя люблю</br>
</hr>
"	"사랑합니다
[anki:tts lang=ko_KR speed=0.8]사랑합니다[/anki:tts]
"
"끝
[anki:tts lang=ko_KR speed=0.6]끝[/anki:tts]

"	Конец
"Конец</br>
</hr>
"	"끝
[anki:tts lang=ko_KR speed=0.8]끝[/anki:tts]
"
"Это мышь.</br>
</hr>
"	"이것은 마우스입니다
[anki:tts lang=ko_KR speed=0.8]이것은 마우스입니다[/anki:tts]
"
"우유
[anki:tts lang=ko_KR speed=0.6]우유[/anki:tts]

"	Молоко
"Молоко</br>
</hr>
"	"우유
[anki:tts lang=ko_KR speed=0.8]우유[/anki:tts]
"
"다리
[anki:tts lang=ko_KR speed=0.6]다리[/anki:tts]

"	Нога
"Нога</br>
</hr>
"	"다리
[anki:tts lang=ko_KR speed=0.8]다리[/anki:tts]
"
"한글
[anki:tts lang=ko_KR speed=0.6]한글[/anki:tts]

"	Корейский алфавит
"Корейский алфавит</br>
</hr>
"	"한글
[anki:tts lang=ko_KR speed=0.8]한글[/anki:tts]
"
"학교
[anki:tts lang=ko_KR speed=0.6]학교[/anki:tts]

"	школа
"школа</br>
</hr>
"	"학교
[anki:tts lang=ko_KR speed=0.8]학교[/anki:tts]
"
"대학교
[anki:tts lang=ko_KR speed=0.6]대학교[/anki:tts]

"	Университет
"Университет</br>
</hr>
"	"대학교
[anki:tts lang=ko_KR speed=0.8]대학교[/anki:tts]
"
"빵
[anki:tts lang=ko_KR speed=0.6]빵[/anki:tts]

"	хлеб
"хлеб</br>
</hr>
"	"빵
[anki:tts lang=ko_KR speed=0.8]빵[/anki:tts]
"
"친구
[anki:tts lang=ko_KR speed=0.6]친구[/anki:tts]

"	друг
"друг</br>
</hr>
"	"친구
[anki:tts lang=ko_KR speed=0.8]친구[/anki:tts]
"
"김치
[anki:tts lang=ko_KR speed=0.6]김치[/anki:tts]

"	Кимчи
"Кимчи</br>
</hr>
"	"김치
[anki:tts lang=ko_KR speed=0.8]김치[/anki:tts]
"
"크다
[anki:tts lang=ko_KR speed=0.6]크다[/anki:tts]

"	большой
"большой</br>
</hr>
"	"크다
[anki:tts lang=ko_KR speed=0.8]크다[/anki:tts]
"
"과일
[anki:tts lang=ko_KR speed=0.6]과일[/anki:tts]

"	Фрукт, фрукты
"Фрукт, фрукты</br>
</hr>
"	"과일
[anki:tts lang=ko_KR speed=0.8]과일[/anki:tts]
"
